SFCompo sample ref;Type;Item;Z;A;I;Value;Unit;Value*;Unit*;Uncertainty;Sigma;Method;Laboratory;Date meas.;Date ref.;Date sep.
BEZ-1|M308|K7|BM5;Isotopic Concentration;U234;92;234;0;4.48E-2;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];5.082E-2;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];24.83 %;2;HPLC-ICP-MS;Paul Scherrer Institute;1999-04-19;1999-04-19;
BEZ-1|M308|K7|BM5;Isotopic Concentration;U235;92;235;0;7.39E-1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];8.383E-1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];17.68 %;2;HPLC-ICP-MS;Paul Scherrer Institute;1999-04-19;1999-04-19;
BEZ-1|M308|K7|BM5;Isotopic Concentration;U236;92;236;0;2.68E-1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];3.040E-1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];10.67 %;2;HPLC-ICP-MS;Paul Scherrer Institute;1999-04-19;1999-04-19;
BEZ-1|M308|K7|BM5;Isotopic Concentration;U238;92;238;0;7.98E2;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];9.052E2;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];4.18 %;2;HPLC-ICP-MS;Paul Scherrer Institute;1999-04-19;1999-04-19;
BEZ-1|M308|K7|BM5;Isotopic Concentration;Np237;93;237;0;1.75E-1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];1.985E-1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];0.43 %;2;ICP-MS;Paul Scherrer Institute;1999-09-14;1999-09-14;
BEZ-1|M308|K7|BM5;Isotopic Concentration;Pu238;94;238;0;8.65E-1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];9.812E-1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];11.89 %;2;HPLC-ICP-MS;Paul Scherrer Institute;1999-05-03;1999-05-03;
BEZ-1|M308|K7|BM5;Isotopic Concentration;Pu239;94;239;0;9.25E0;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];1.049E1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];0.9 %;2;HPLC-ICP-MS;Paul Scherrer Institute;1999-05-03;1999-05-03;
BEZ-1|M308|K7|BM5;Isotopic Concentration;Pu240;94;240;0;9.59E0;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];1.088E1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];0.99 %;2;HPLC-ICP-MS;Paul Scherrer Institute;1999-05-03;1999-05-03;
BEZ-1|M308|K7|BM5;Isotopic Concentration;Pu241;94;241;0;4.47E0;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];5.071E0;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];1.06 %;2;HPLC-ICP-MS;Paul Scherrer Institute;1999-05-03;1999-05-03;
BEZ-1|M308|K7|BM5;Isotopic Concentration;Pu242;94;242;0;3.52E0;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];3.993E0;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];1.26 %;2;HPLC-ICP-MS;Paul Scherrer Institute;1999-05-03;1999-05-03;
