Elapsed days;Value;Point type;Uncertainty (%);Sigma
0;0 MW*d/tHMi;HISTOGRAM;;
351;0 MW*d/tHMi;HISTOGRAM;;
714;0 MW*d/tHMi;HISTOGRAM;;
715;7 MW*d/tHMi;HISTOGRAM;;
716.5;30 MW*d/tHMi;HISTOGRAM;;
718.5;77 MW*d/tHMi;HISTOGRAM;;
719.5;110 MW*d/tHMi;HISTOGRAM;;
720.5;126 MW*d/tHMi;HISTOGRAM;;
830.5;3685 MW*d/tHMi;HISTOGRAM;;
831;3697 MW*d/tHMi;HISTOGRAM;;
907;6143 MW*d/tHMi;HISTOGRAM;;
907.5;6150 MW*d/tHMi;HISTOGRAM;;
930.5;6869 MW*d/tHMi;HISTOGRAM;;
930.7;6872 MW*d/tHMi;HISTOGRAM;;
934.2;6981 MW*d/tHMi;HISTOGRAM;;
934.7;6993 MW*d/tHMi;HISTOGRAM;;
1004.2;9184 MW*d/tHMi;HISTOGRAM;;
1021.8;9719 MW*d/tHMi;HISTOGRAM;;
1021.8;0 MW*d/tHMi;HISTOGRAM;;
1073;0 MW*d/tHMi;HISTOGRAM;;
1073.5;9722 MW*d/tHMi;HISTOGRAM;;
1075.5;9748 MW*d/tHMi;HISTOGRAM;;
1077;9778 MW*d/tHMi;HISTOGRAM;;
1078;9804 MW*d/tHMi;HISTOGRAM;;
1079;9831 MW*d/tHMi;HISTOGRAM;;
1081.5;9899 MW*d/tHMi;HISTOGRAM;;
1082;9909 MW*d/tHMi;HISTOGRAM;;
1094;10239 MW*d/tHMi;HISTOGRAM;;
1094.5;10249 MW*d/tHMi;HISTOGRAM;;
1146;11665 MW*d/tHMi;HISTOGRAM;;
1147;11685 MW*d/tHMi;HISTOGRAM;;
1285;15448 MW*d/tHMi;HISTOGRAM;;
1285.2;15452 MW*d/tHMi;HISTOGRAM;;
1368.2;17699 MW*d/tHMi;HISTOGRAM;;
1369.2;17712 MW*d/tHMi;HISTOGRAM;;
1435.2;19515 MW*d/tHMi;HISTOGRAM;;
1435.2;0 MW*d/tHMi;HISTOGRAM;;
1507;0 MW*d/tHMi;HISTOGRAM;;
1507.5;19519 MW*d/tHMi;HISTOGRAM;;
1509.5;19547 MW*d/tHMi;HISTOGRAM;;
1511.5;19593 MW*d/tHMi;HISTOGRAM;;
1513.5;19650 MW*d/tHMi;HISTOGRAM;;
1548.5;20756 MW*d/tHMi;HISTOGRAM;;
1586.5;21945 MW*d/tHMi;HISTOGRAM;;
1587.5;21960 MW*d/tHMi;HISTOGRAM;;
1716.7;25834 MW*d/tHMi;HISTOGRAM;;
1716.7;0 MW*d/tHMi;HISTOGRAM;;
1817;0 MW*d/tHMi;HISTOGRAM;;
1825;25988 MW*d/tHMi;HISTOGRAM;;
1893.9;28747 MW*d/tHMi;HISTOGRAM;;
1896.4;28798 MW*d/tHMi;HISTOGRAM;;
1900.4;28956 MW*d/tHMi;HISTOGRAM;;
1905.4;29157 MW*d/tHMi;HISTOGRAM;;
1907.4;29196 MW*d/tHMi;HISTOGRAM;;
1967.3;31537 MW*d/tHMi;HISTOGRAM;;
2027.2;33886 MW*d/tHMi;HISTOGRAM;;
2087.1;36179 MW*d/tHMi;HISTOGRAM;;
2137;38051 MW*d/tHMi;HISTOGRAM;;
2157;38658 MW*d/tHMi;HISTOGRAM;;
2157;0 MW*d/tHMi;HISTOGRAM;;
2205;0 MW*d/tHMi;HISTOGRAM;;
2211;38747 MW*d/tHMi;HISTOGRAM;;
2213;38794 MW*d/tHMi;HISTOGRAM;;
2214;38819 MW*d/tHMi;HISTOGRAM;;
2300.7;41793 MW*d/tHMi;HISTOGRAM;;
2387.3;44779 MW*d/tHMi;HISTOGRAM;;
2474;47713 MW*d/tHMi;HISTOGRAM;;
2475;47728 MW*d/tHMi;HISTOGRAM;;
2519.8;49175 MW*d/tHMi;HISTOGRAM;;
2520.9;49211 MW*d/tHMi;HISTOGRAM;;
2537.7;49740 MW*d/tHMi;HISTOGRAM;;
2539.3;49762 MW*d/tHMi;HISTOGRAM;;
2539.3;0 MW*d/tHMi;HISTOGRAM;;
2569.3;0 MW*d/tHMi;HISTOGRAM;;
2577.1;49861 MW*d/tHMi;HISTOGRAM;;
2637.7;51491 MW*d/tHMi;HISTOGRAM;;
2638.7;51504 MW*d/tHMi;HISTOGRAM;;
2696.3;53110 MW*d/tHMi;HISTOGRAM;;
2753.9;54796 MW*d/tHMi;HISTOGRAM;;
2754.9;54817 MW*d/tHMi;HISTOGRAM;;
2808.6;56367 MW*d/tHMi;HISTOGRAM;;
2809.6;56380 MW*d/tHMi;HISTOGRAM;;
2875;58257 MW*d/tHMi;HISTOGRAM;;
2876;58286 MW*d/tHMi;HISTOGRAM;;
2896.5;58842 MW*d/tHMi;HISTOGRAM;;
2897.5;58854 MW*d/tHMi;HISTOGRAM;;
2897.5;0 MW*d/tHMi;HISTOGRAM;;
2903.3;0 MW*d/tHMi;HISTOGRAM;;
