SFCompo sample ref;Type;Item;Z;A;I;Value;Unit;Value*;Unit*;Uncertainty;Sigma;Method;Laboratory;Date meas.;Date ref.;Date sep.
BEZ-1|M308|K7|BM5';Isotopic Concentration;U234;92;234;0;4.97E-2;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];5.638E-2;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];10.01 %;2;TIMS;SCK-CEN;1999-10-11;1999-10-11;
BEZ-1|M308|K7|BM5';Other;U234 mg/gFuef at EOL;;;;2.41E-2;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];2.734E-2;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];20.91 %;2;TIMS;SCK-CEN;1999-10-11;1996-06-27;
BEZ-1|M308|K7|BM5';Isotopic Concentration;U235;92;235;0;5.86E-1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];6.648E-1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];2.05 %;2;TIMS;SCK-CEN;1999-10-11;1999-10-11;
BEZ-1|M308|K7|BM5';Isotopic Concentration;U236;92;236;0;2.69E-1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];3.051E-1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];5.02 %;2;TIMS;SCK-CEN;1999-10-11;1999-10-11;
BEZ-1|M308|K7|BM5';Isotopic Concentration;U238;92;238;0;7.98E2;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];9.052E2;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];0.45 %;2;TIMS;SCK-CEN;1999-10-11;1999-10-11;
BEZ-1|M308|K7|BM5';Isotopic Concentration;Np237;93;237;0;1.84E-1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];2.087E-1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];10.97 %;2;ICP-MS;SCK-CEN;1999-12-21;1999-12-21;
BEZ-1|M308|K7|BM5';Isotopic Concentration;Pu238;94;238;0;9.95E-1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];1.129E0;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];3.05 %;2;TIMS;SCK-CEN;1999-10-10;1999-10-10;1999-10-03
BEZ-1|M308|K7|BM5';Other;Pu238 mg/gFuef at EOL;;;;8.66E-1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];9.824E-1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];3.56 %;2;TIMS;SCK-CEN;1999-10-10;1996-06-27;
BEZ-1|M308|K7|BM5';Isotopic Concentration;Pu239;94;239;0;9.8E0;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];1.112E1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];0.57 %;2;TIMS;SCK-CEN;1999-10-10;1999-10-10;1999-10-03
BEZ-1|M308|K7|BM5';Isotopic Concentration;Pu240;94;240;0;1.01E1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];1.146E1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];0.57 %;2;TIMS;SCK-CEN;1999-10-10;1999-10-10;1999-10-03
BEZ-1|M308|K7|BM5';Other;Pu240 mg/gFuef at EOL;;;;9.97E0;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];1.131E1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];0.57 %;2;TIMS;SCK-CEN;1999-10-10;1996-06-27;
BEZ-1|M308|K7|BM5';Isotopic Concentration;Pu241;94;241;0;4.6E0;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];5.218E0;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];0.57 %;2;TIMS;SCK-CEN;1999-10-10;1999-10-10;1999-10-03
BEZ-1|M308|K7|BM5';Isotopic Concentration;Pu242;94;242;0;3.67E0;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];4.163E0;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];0.57 %;2;TIMS;SCK-CEN;1999-10-10;1999-10-10;1999-10-03
BEZ-1|M308|K7|BM5';Isotopic Concentration;Pu244;94;244;0;1E-3;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];1.134E-3;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];50 %;2;TIMS;SCK-CEN;1999-10-10;1999-10-10;1999-10-03
BEZ-1|M308|K7|BM5';Isotopic Concentration;Am241;95;241;0;1.13E0;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];1.282E0;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];3.51 %;2;TIMS;SCK-CEN;1999-12-19;1999-12-19;1999-10-03
BEZ-1|M308|K7|BM5';Other;Am241 mg/gFuef at EOL;;;;3.5E-1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];3.970E-1;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];11.4 %;2;TIMS;SCK-CEN;1999-12-19;1996-06-27;
BEZ-1|M308|K7|BM5';Isotopic Concentration;Am242m;95;242;1;1.06E-2;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];1.202E-2;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];10.59 %;2;TIMS;SCK-CEN;1999-12-19;1999-12-19;1999-10-03
BEZ-1|M308|K7|BM5';Isotopic Concentration;Am243;95;243;0;9.37E-1;DerivedUnit[mg/gFueli,milligram/gram Oxide fuel initial (=UO2 if UOX fuel)=1,Factors[mg.gFueli^-1]];1.063E0;DerivedUnit[mg/gUi,milligram/gram Uranium initial=1,Factors[mg.gUi^-1]];3.51 %;2;TIMS;SCK-CEN;1999-12-19;1999-12-19;1999-10-03
